Country,Site(Region),Reference,Depth(m),LL(%),PL(%),w(%),s'v (kPa),s'p (kPa),su(test) (kPa),Test Type Su,St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10.0,49.0,23.0,60.0,73.0,110.0,25.0,'FV',9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11.0,51.0,23.0,60.0,80.0,120.0,25.0,'FV',8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12.0,55.0,23.0,57.0,87.0,110.0,27.0,'FV',7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13.0,52.0,22.0,65.0,94.0,100.0,27.0,'FV',8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lokalahti,,5.0,60.0,20.0,100.0,16.5,22.0,9.0,'FV',17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7.0,49.0,20.0,80.0,26.5,28.0,10.0,'FV',19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nurmijarvi,,2.4,120.0,50.0,150.0,15.6,25.0,8.0,'FV',10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.6,52.0,25.0,75.0,20.4,30.0,7.0,'FV',9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6.0,80.0,30.0,120.0,30.0,35.0,16.0,'FV',7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7.0,75.0,30.0,100.0,34.0,48.0,17.0,'FV',10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.0,75.0,30.0,100.0,38.0,51.0,22.0,'FV',12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9.0,90.0,30.0,100.0,42.0,60.0,24.0,'FV',13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10.0,75.0,30.0,90.0,46.0,75.0,25.0,'FV',13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11.0,65.0,30.0,75.0,53.0,80.0,28.0,'FV',14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13.0,60.0,25.0,58.0,67.0,90.0,34.0,'FV',12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14.0,65.0,25.0,60.0,74.0,130.0,22.0,'FV',8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16.0,40.0,25.0,35.0,88.0,100.0,28.0,'FV',6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17.0,52.0,25.0,60.0,95.0,100.0,30.0,'FV',7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18.0,70.0,25.0,55.0,102.0,140.0,35.0,'FV',8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otaniemi,,2.7,105.0,25.0,120.0,10.1,20.0,5.0,'FV',9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
